GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G1200670","1920","Florida","120","Lafayette","0670","Lafayette","43","670",6242,6242
"G1200690","1920","Florida","120","Lake","0690","Lake","43","690",12744,12744
"G1200710","1920","Florida","120","Lee","0710","Lee","43","710",9540,9540
"G1200730","1920","Florida","120","Leon","0730","Leon","43","730",18059,18059
"G1200750","1920","Florida","120","Levy","0750","Levy","43","750",9921,9921
"G1200770","1920","Florida","120","Liberty","0770","Liberty","43","770",5006,5006
"G1200790","1920","Florida","120","Madison","0790","Madison","43","790",16516,16516
"G1200810","1920","Florida","120","Manatee","0810","Manatee","43","810",18712,18712
"G1200830","1920","Florida","120","Marion","0830","Marion","43","830",23968,23968
"G1200870","1920","Florida","120","Monroe","0870","Monroe","43","870",19550,19550
"G1200890","1920","Florida","120","Nassau","0890","Nassau","43","890",11340,11340
"G1200910","1920","Florida","120","Okaloosa","0910","Okaloosa","43","910",9360,9360
"G1200930","1920","Florida","120","Okeechobee","0930","Okeechobee","43","930",2132,2132
"G1200950","1920","Florida","120","Orange","0950","Orange","43","950",19890,19890
"G1200970","1920","Florida","120","Osceola","0970","Osceola","43","970",7195,7195
"G1200990","1920","Florida","120","Palm Beach","0990","Palm Beach","43","990",18654,18654
"G1201010","1920","Florida","120","Pasco","1010","Pasco","43","1010",8802,8802
"G1201030","1920","Florida","120","Pinellas","1030","Pinellas","43","1030",28265,28265
"G1201050","1920","Florida","120","Polk","1050","Polk","43","1050",38661,38661
"G1201070","1920","Florida","120","Putnam","1070","Putnam","43","1070",14568,14568
"G1201090","1920","Florida","120","St Johns","1090","St Johns","43","1090",13061,13061
"G1201110","1920","Florida","120","St Lucie","1110","St Lucie","43","1110",7886,7886
"G1201130","1920","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",13670,13670
"G1201170","1920","Florida","120","Seminole","1170","Seminole","43","1170",10986,10986
"G1201190","1920","Florida","120","Sumter","1190","Sumter","43","1190",7851,7851
"G1201210","1920","Florida","120","Suwannee","1210","Suwannee","43","1210",19789,19789
"G1201230","1920","Florida","120","Taylor","1230","Taylor","43","1230",11219,11219
"G1201270","1920","Florida","120","Volusia","1270","Volusia","43","1270",23374,23374
